producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-individuals,0.5,individuals,1,beegfs-ssd,15,ssd,150,157.91022743522925,56.47401750175549,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,14,ssd,150,158.6183956076211,57.18218567414732,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,7,tmpfs,30,164.99038853640042,149.15586677519224,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,7,tmpfs,60,167.5169798,149.15586677519224,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs,1,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,2,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,5,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,9,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,10,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,11,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,23,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,25,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,27,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,28,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,29,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,30,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,31,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,32,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,34,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,60,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,150,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,7,tmpfs,150,190.36933008281932,149.15586677519224,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-ssd,5,ssd,150,193.10670607244222,91.67049613896846,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,6,ssd,150,231.004467,129.56825702603825,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,7,ssd,150,231.004467,129.56825702603825,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,3,ssd,30,256.5216589903343,241.9934111937507,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,4,ssd,30,256.5216589903343,241.9934111937507,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,3,ssd,60,258.8970197154661,241.9934111937507,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,4,ssd,60,258.8970197154661,241.9934111937507,16.903608521715448
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,7,beegfs,30,266.54224379733944,134.98529605121647,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,7,beegfs,60,305.92312627334763,134.98529605121647,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-ssd,2,ssd,30,313.7055608486567,299.17731305207315,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,2,ssd,60,316.0809215737886,299.17731305207315,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,3,ssd,150,343.42962112722444,241.9934111937507,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,4,ssd,150,343.42962112722444,241.9934111937507,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,3,tmpfs,30,347.44497834581955,331.61045658461137,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,4,tmpfs,30,347.44497834581955,331.61045658461137,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,3,tmpfs,60,349.97156956065015,331.61045658461137,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,4,tmpfs,60,349.97156956065015,331.61045658461137,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,3,tmpfs,150,372.82391989223845,331.61045658461137,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,4,tmpfs,150,372.82391989223845,331.61045658461137,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-ssd,2,ssd,150,400.6135229855469,299.17731305207315,101.43620993347376
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,3,beegfs,30,430.6552174883546,299.0982697422316,131.5569477
