producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
mBackground,1.0,stage_out-mBackground,1.5,tmpfs,2,tmpfs,16,0.001713088047804686,0.001713088047804686,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,1,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,2,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,3,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,4,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,6,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,11,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,15,0.0017482823181299032,0.0017482823181299032,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,beegfs,15,beegfs,16,0.0017482823181299032,0.0017482823181299032,0.0
mAdd,1.0,stage_out-mAdd,1.5,tmpfs,1,tmpfs-tmpfs,1,0.0017804897286223646,3.386419468326646e-06,0.001777103309154038
mAdd,1.0,stage_out-mAdd,1.5,ssd,1,ssd-ssd,1,0.00178751139709051,3.382832125080852e-06,0.0017841285649654293
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,1,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,2,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,3,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,4,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,6,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,11,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,15,0.005627692907835096,0.005627692907835096,0.0
mBackground,1.0,stage_out-mBackground,1.5,beegfs,2,beegfs,16,0.005627692907835096,0.005627692907835096,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,1,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,2,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,3,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,4,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,6,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,11,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,15,0.0062902227907444715,0.0062902227907444715,0.0
mDiffFit,1.0,stage_out-mDiffFit,1.5,ssd,15,ssd,16,0.0062902227907444715,0.0062902227907444715,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,1,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,2,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,3,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,4,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,6,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,11,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,15,0.009809138331244499,0.009809138331244499,0.0
mViewer,1.0,stage_out-mViewer,1.5,tmpfs,1,tmpfs,16,0.009809138331244499,0.009809138331244499,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,1,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,2,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,3,0.01528539992946826,0.01528539992946826,0.0
